Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

8,88	0,51	3,0	6,0	4,7
8,91	0,51	3,0	6,0	4,7
8,93	0,52	3,0	6,0	4,7
8,96	0,52	3,0	6,0	4,7
8,98	0,53	3,0	6,0	4,7
9,01	0,52	3,0	6,0	4,7
9,03	0,52	3,0	6,0	4,7
9,05	0,53	3,0	6,0	4,7
9,08	0,53	3,0	6,0	4,7
9,10	0,53	3,0	6,0	4,7
9,13	0,53	3,0	6,0	4,7
9,15	0,52	3,0	6,0	4,7
9,18	0,51	3,0	6,0	4,7
9,20	0,51	3,0	6,0	4,7
9,23	0,52	3,0	6,0	4,7
9,25	0,53	3,0	6,0	4,7
9,27	0,52	3,0	6,0	4,7
9,30	0,52	3,0	6,0	4,7
9,32	0,53	3,0	6,0	4,7
9,35	0,53	3,0	6,0	4,7
9,37	0,54	3,0	6,0	4,7
9,40	0,53	3,0	6,0	4,7
9,42	0,54	3,0	6,0	4,7
9,45	0,53	3,0	6,0	4,7
9,47	0,53	3,0	6,0	4,7
9,49	0,54	3,0	6,0	4,7
9,52	0,55	3,0	6,0	4,7
9,54	0,54	3,0	6,0	4,7
9,57	0,54	3,0	6,0	4,7
9,59	0,53	3,0	6,0	4,7
9,62	0,53	3,0	6,0	4,7
9,64	0,53	3,0	6,0	4,7
9,67	0,53	3,0	6,0	4,7
9,69	0,53	3,0	6,0	4,7
9,71	0,53	3,0	6,0	4,7
9,74	0,53	3,0	6,0	4,7
9,76	0,53	3,0	6,0	4,7
9,79	0,54	3,0	6,0	4,7
9,81	0,55	3,0	6,0	4,7
9,84	0,55	3,0	6,0	4,7
9,86	0,54	3,0	6,0	4,7
9,89	0,54	3,0	6,0	4,7
9,91	0,55	3,0	6,0	4,7
9,93	0,55	3,0	6,0	4,7
9,96	0,55	3,0	6,0	4,7
9,98	0,55	3,0	6,0	4,7
10,01	0,55	3,0	6,0	4,7
10,03	0,54	3,0	6,0	4,7
10,06	0,54	3,0	6,0	4,7
10,08	0,55	3,0	6,0	4,7
10,10	0,55	3,0	6,0	4,7
10,13	0,55	3,0	6,0	4,7
10,15	0,55	3,0	6,0	4,7
10,18	0,55	3,0	6,0	4,7
10,20	0,56	3,0	6,0	4,7
10,23	0,56	3,0	6,0	4,7
10,25	0,56	3,0	6,0	4,7
10,28	0,55	3,0	6,0	4,7
10,30	0,55	3,0	6,0	4,7
10,32	0,55	3,0	6,0	4,7
10,35	0,56	3,0	6,0	4,7
10,37	0,57	3,0	6,0	4,7
10,40	0,56	3,0	6,0	4,7
10,42	0,56	3,0	6,0	4,7
10,45	0,55	3,0	6,0	4,7
10,47	0,55	3,0	6,0	4,7
10,50	0,55	3,0	6,0	4,7
10,52	0,56	3,0	6,0	4,7
10,54	0,57	3,0	6,0	4,7
10,57	0,56	3,0	6,0	4,7
10,59	0,56	3,0	6,0	4,7
10,62	0,56	3,0	6,0	4,7
10,64	0,57	3,0	6,0	4,7
10,67	0,57	3,0	6,0	4,7
10,69	0,56	3,0	6,0	4,7
10,72	0,56	3,0	6,0	4,7
10,74	0,55	3,0	6,0	4,7
10,76	0,55	3,0	6,0	4,7
10,79	0,56	3,0	6,0	4,7
10,81	0,57	3,0	6,0	4,7
10,84	0,56	3,0	6,0	4,7
10,86	0,56	3,0	6,0	4,7
10,89	0,56	3,0	6,0	4,7
10,91	0,57	3,0	6,0	4,7
10,94	0,57	3,0	6,0	4,7
10,96	0,58	3,0	6,0	4,7
10,98	0,58	3,0	6,0	4,7
11,01	0,58	3,0	6,0	4,7
11,03	0,58	3,0	6,0	4,7
11,06	0,58	3,0	6,0	4,7
11,08	0,59	3,0	6,0	4,7
11,11	0,58	3,0	6,0	4,7
11,13	0,58	3,0	6,0	4,7
11,15	0,57	3,0	6,0	4,7
11,18	0,57	3,0	6,0	4,7
11,20	0,57	3,0	6,0	4,7
11,23	0,58	3,0	6,0	4,7
11,25	0,58	3,0	6,0	4,7
11,28	0,57	3,0	6,0	4,7
11,30	0,58	3,0	6,0	4,7
11,33	0,57	3,0	6,0	4,7
11,35	0,58	3,0	6,0	4,7
11,37	0,57	3,0	6,0	4,7
11,40	0,58	3,0	6,0	4,7
11,42	0,58	3,0	6,0	4,7
11,45	0,57	3,0	6,0	4,7
11,47	0,57	3,0	6,0	4,7
11,50	0,58	3,0	6,0	4,7
11,52	0,58	3,0	6,0	4,7
11,55	0,58	3,0	6,0	4,7
11,57	0,57	3,0	6,0	4,7
11,59	0,57	3,0	6,0	4,7
11,62	0,56	3,0	6,0	4,7
11,64	0,57	3,0	6,0	4,7
11,67	0,58	3,0	6,0	4,7
11,69	0,58	3,0	6,0	4,7
11,72	0,57	3,0	6,0	4,7
11,74	0,57	3,0	6,0	4,7
11,77	0,57	3,0	6,0	4,7
11,79	0,58	3,0	6,0	4,7
11,81	0,58	3,0	6,0	4,7
11,84	0,59	3,0	6,0	4,7
11,86	0,58	3,0	6,0	4,7
11,89	0,58	3,0	6,0	4,7
11,91	0,58	3,0	6,0	4,7
11,94	0,59	3,0	6,0	4,7
11,96	0,59	3,0	6,0	4,7
11,99	0,59	3,0	6,0	4,7
12,01	0,59	3,0	6,0	4,7
12,03	0,59	3,0	6,0	4,7
12,06	0,59	3,0	6,0	4,7
12,08	0,60	3,0	6,0	4,7
12,11	0,60	3,0	6,0	4,7
12,13	0,60	3,0	6,0	4,7
12,16	0,59	3,0	6,0	4,7
12,18	0,60	3,0	6,0	4,7
12,21	0,60	3,0	6,0	4,7
12,23	0,61	3,0	6,0	4,7
12,25	0,61	3,0	6,0	4,7
12,28	0,61	3,0	6,0	4,7
12,30	0,60	3,0	6,0	4,7
12,33	0,60	3,0	6,0	4,7
12,35	0,61	3,0	6,0	4,7
12,38	0,61	3,0	6,0	4,7
12,40	0,61	3,0	6,0	4,7
12,42	0,61	3,0	6,0	4,7
12,45	0,60	3,0	6,0	4,7
12,47	0,60	3,0	6,0	4,7
12,50	0,59	3,0	6,0	4,7
12,52	0,60	3,0	6,0	4,7
12,55	0,60	3,0	6,0	4,7
12,57	0,60	3,0	6,0	4,7
12,60	0,60	3,0	6,0	4,7
12,62	0,60	3,0	6,0	4,7
12,64	0,60	3,0	6,0	4,7
12,67	0,61	3,0	6,0	4,7
12,69	0,61	3,0	6,0	4,7
12,72	0,61	3,0	6,0	4,7
12,74	0,61	3,0	6,0	4,7
12,77	0,61	3,0	6,0	4,7
12,79	0,62	3,0	6,0	4,7
12,82	0,62	3,0	6,0	4,7
12,84	0,61	3,0	6,0	4,7
12,86	0,61	3,0	6,0	4,7
12,89	0,60	3,0	6,0	4,7
12,91	0,60	3,0	6,0	4,7
12,94	0,60	3,0	6,0	4,7
12,96	0,61	3,0	6,0	4,7
12,99	0,61	3,0	6,0	4,7
13,01	0,60	3,0	6,0	4,7
13,04	0,61	3,0	6,0	4,7
13,06	0,61	3,0	6,0	4,7
13,08	0,62	3,0	6,0	4,7
13,11	0,62	3,0	6,0	4,7
13,13	0,63	3,0	6,0	4,7
13,16	0,63	3,0	6,0	4,7
13,18	0,62	3,0	6,0	4,7
13,21	0,63	3,0	6,0	4,7
13,23	0,63	3,0	6,0	4,7
13,26	0,63	3,0	6,0	4,7
13,28	0,62	3,0	6,0	4,7
13,30	0,62	3,0	6,0	4,7
13,33	0,61	3,0	6,0	4,7
13,35	0,61	3,0	6,0	4,7
13,38	0,61	3,0	6,0	4,7
13,40	0,62	3,0	6,0	4,7
13,43	0,61	3,0	6,0	4,7
13,45	0,60	3,0	6,0	4,7
13,47	0,61	3,0	6,0	4,7
13,50	0,62	3,0	6,0	4,7
13,52	0,61	3,0	6,0	4,7
13,55	0,61	3,0	6,0	4,7
13,57	0,61	3,0	6,0	4,7
13,60	0,60	3,0	6,0	4,7
13,62	0,59	3,0	6,0	4,7
13,65	0,59	3,0	6,0	4,7
13,67	0,59	3,0	6,0	4,7
13,69	0,58	3,0	6,0	4,7
13,72	0,57	3,0	6,0	4,7
13,74	0,57	3,0	6,0	4,7
13,77	0,56	3,0	6,0	4,7
13,79	0,55	3,0	6,0	4,7
13,82	0,56	3,0	6,0	4,7
13,84	0,56	3,0	6,0	4,7
13,87	0,55	3,0	6,0	4,7
13,89	0,54	3,0	6,0	4,7
13,91	0,54	3,0	6,0	4,7
13,94	0,54	3,0	6,0	4,7
13,96	0,53	3,0	6,0	4,7
13,99	0,52	3,0	6,0	4,7
14,01	0,51	3,0	6,0	4,7
14,04	0,50	3,0	6,0	4,7
14,06	0,50	3,0	6,0	4,7
14,09	0,49	3,0	6,0	4,7
14,11	0,48	3,0	6,0	4,7
14,13	0,48	3,0	6,0	4,7
14,16	0,47	3,0	6,0	4,7
14,18	0,46	3,0	6,0	4,7
14,21	0,46	3,0	6,0	4,7
14,23	0,46	3,0	6,0	4,7
14,26	0,46	3,0	6,0	4,7
14,28	0,46	3,0	6,0	4,7
14,31	0,45	3,0	6,0	4,7
14,33	0,44	3,0	6,0	4,7
14,35	0,44	3,0	6,0	4,7
14,38	0,44	3,0	6,0	4,7
14,40	0,43	3,0	6,0	4,7
14,43	0,41	3,0	6,0	4,7
14,45	0,40	3,0	6,0	4,7
14,48	0,39	3,0	6,0	4,7
14,50	0,38	3,0	6,0	4,7
14,52	0,38	3,0	6,0	4,7
14,55	0,38	3,0	6,0	4,7
14,57	0,36	3,0	6,0	4,7
14,60	0,37	3,0	6,0	4,7
14,62	0,35	3,0	6,0	4,7
14,65	0,36	3,0	6,0	4,7
14,67	0,35	3,0	6,0	4,7
14,70	0,36	3,0	6,0	4,7
14,72	0,35	3,0	6,0	4,7
14,74	0,34	3,0	6,0	4,7
14,77	0,34	3,0	6,0	4,7
14,79	0,33	3,0	6,0	4,7
14,82	0,33	3,0	6,0	4,7
14,84	0,32	3,0	6,0	4,7
14,87	0,31	3,0	6,0	4,7
14,89	0,30	3,0	6,0	4,7
14,92	0,29	3,0	6,0	4,7
14,94	0,29	3,0	6,0	4,7
14,96	0,29	3,0	6,0	4,7
14,99	0,28	3,0	6,0	4,7
15,01	0,28	3,0	6,0	4,7
15,04	0,28	3,0	6,0	4,7
15,06	0,27	3,0	6,0	4,7
15,09	0,28	3,0	6,0	4,7
15,11	0,27	3,0	6,0	4,7
15,14	0,27	3,0	6,0	4,7
15,16	0,26	3,0	6,0	4,7
15,18	0,25	3,0	6,0	4,7
15,21	0,26	3,0	6,0	4,7
15,23	0,26	3,0	6,0	4,7
15,26	0,24	3,0	6,0	4,7
15,28	0,24	3,0	6,0	4,7
15,31	0,23	3,0	6,0	4,7
15,33	0,23	3,0	6,0	4,7
15,36	0,23	3,0	6,0	4,7
15,38	0,23	3,0	6,0	4,7
15,40	0,23	3,0	6,0	4,7
15,43	0,21	3,0	6,0	4,7
15,45	0,21	3,0	6,0	4,7
15,48	0,22	3,0	6,0	4,7
15,50	0,21	3,0	6,0	4,7
15,53	0,22	3,0	6,0	4,7
15,55	0,21	3,0	6,0	4,7
15,57	0,21	3,0	6,0	4,7
15,60	0,20	3,0	6,0	4,7
15,62	0,20	3,0	6,0	4,7
15,65	0,21	3,0	6,0	4,7
15,67	0,20	3,0	6,0	4,7
15,70	0,20	3,0	6,0	4,7
15,72	0,20	3,0	6,0	4,7
15,75	0,19	3,0	6,0	4,7
15,77	0,19	3,0	6,0	4,7
15,79	0,19	3,0	6,0	4,7
15,82	0,20	3,0	6,0	4,7
15,84	0,20	3,0	6,0	4,7
15,87	0,19	3,0	6,0	4,7
15,89	0,19	3,0	6,0	4,7
15,92	0,20	3,0	6,0	4,7
15,94	0,20	3,0	6,0	4,7
15,97	0,20	3,0	6,0	4,7
15,99	0,20	3,0	6,0	4,7
16,01	0,20	3,0	6,0	4,7
16,04	0,20	3,0	6,0	4,7
16,06	0,20	3,0	6,0	4,7
16,09	0,21	3,0	6,0	4,7
16,11	0,21	3,0	6,0	4,7
16,14	0,20	3,0	6,0	4,7
16,16	0,20	3,0	6,0	4,7
16,19	0,20	3,0	6,0	4,7
16,21	0,20	3,0	6,0	4,7
16,23	0,21	3,0	6,0	4,7
16,26	0,22	3,0	6,0	4,7
16,28	0,22	3,0	6,0	4,7
16,31	0,22	3,0	6,0	4,7
16,33	0,22	3,0	6,0	4,7
16,36	0,22	3,0	6,0	4,7
16,38	0,23	3,0	6,0	4,7
16,41	0,24	3,0	6,0	4,7
16,43	0,25	3,0	6,0	4,7
16,45	0,25	3,0	6,0	4,7
16,48	0,25	3,0	6,0	4,7
16,50	0,26	3,0	6,0	4,7
16,53	0,27	3,0	6,0	4,7
16,55	0,26	3,0	6,0	4,7
16,58	0,27	3,0	6,0	4,7
16,60	0,27	3,0	6,0	4,7
16,63	0,28	3,0	6,0	4,7
16,65	0,28	3,0	6,0	4,7
16,67	0,30	3,0	6,0	4,7
16,70	0,30	3,0	6,0	4,7
